Review File,TT_code,Title,Female Total,Male Total,Either Total,Female Positive Agency,Female Negative Agency,Male Positive Agency,Male Negative Agency,Either Positive Agency,Either Negative Agency,Female Power,Male Power,Either Power
./aclImdb/test/neg/1821_4.txt,tt0138541,Judas Kiss,0,0,0,0,0,0,0,0,0,0,0,0
./aclImdb/test/neg/9487_1.txt,tt0202521,Passport to Paris,0,0,0,0,0,0,0,0,0,0,0,0
./aclImdb/test/neg/4604_4.txt,tt0417658,Factotum,0,1,0,0,0,1,0,0,0,0,0,0
./aclImdb/test/neg/2828_2.txt,tt0066105,The Price of Power,0,4,2,0,0,0,2,1,1,0,0,1
./aclImdb/test/neg/10890_1.txt,tt0787505,Rest Stop,1,3,0,0,0,2,1,0,0,0,2,0
./aclImdb/test/neg/3351_4.txt,tt0086050,One Dark Night,0,0,0,0,0,0,0,0,0,0,0,0
./aclImdb/test/neg/8070_2.txt,tt0097390,Fright Night Part 2,0,0,0,0,0,0,0,0,0,0,0,0
./aclImdb/test/neg/1027_4.txt,tt0062979,Flesh,0,0,0,0,0,0,0,0,0,0,0,0
./aclImdb/test/neg/8248_3.txt,tt0119217,Good Will Hunting,6,4,2,5,1,2,1,1,1,4,2,2
./aclImdb/test/neg/4290_4.txt,tt0049405,The Killer Is Loose,0,1,0,0,0,1,0,0,0,0,0,0
./aclImdb/test/neg/10096_1.txt,tt0291828,Con Games,0,0,1,0,0,0,0,1,0,0,0,0
./aclImdb/test/neg/11890_1.txt,tt0098213,Roger & Me,0,4,1,0,0,2,0,1,0,0,0,1
./aclImdb/test/neg/2008_1.txt,tt0367677,Dracula 3000,0,0,0,0,0,0,0,0,0,0,0,0
./aclImdb/test/neg/472_4.txt,tt0384312,Title Not Found,0,3,1,0,0,3,0,1,0,0,2,1
./aclImdb/test/neg/9876_2.txt,tt0397044,Blood and Chocolate,0,0,0,0,0,0,0,0,0,0,0,0
./aclImdb/test/neg/11402_1.txt,tt0239060,I Love You Too,0,1,0,0,0,0,1,0,0,0,0,0
./aclImdb/test/neg/8487_1.txt,tt0362165,Son of the Mask,0,0,0,0,0,0,0,0,0,0,0,0
./aclImdb/test/neg/6648_2.txt,tt0204761,La fidélité,3,0,1,0,1,0,0,1,0,2,0,1
./aclImdb/test/neg/2780_4.txt,tt0411265,Dark Harvest,0,0,2,0,0,0,0,1,1,0,0,1
./aclImdb/test/neg/1789_2.txt,tt0180590,Camp Fear,1,0,1,0,1,0,0,0,1,1,0,1
./aclImdb/test/neg/2351_4.txt,tt0103002,Subspecies,0,0,4,0,0,0,0,3,1,0,0,2
./aclImdb/test/neg/11447_1.txt,tt0485922,Keerthi Chakra,0,1,1,0,0,0,1,1,0,0,1,0
./aclImdb/test/neg/12383_2.txt,tt0050432,The Giant Claw,4,4,2,1,0,2,2,0,0,1,1,2
./aclImdb/test/neg/2760_1.txt,tt0078341,Summer of My German Soldier,1,0,1,1,0,0,0,0,1,0,0,0
./aclImdb/test/neg/10131_3.txt,tt0069681,The Affair,4,0,0,2,2,0,0,0,0,4,0,0
./aclImdb/test/neg/5270_1.txt,tt0160611,Ordinary Decent Criminal,0,0,1,0,0,0,0,1,0,0,0,0
./aclImdb/test/neg/6165_2.txt,tt0443559,Killshot,0,5,0,0,0,3,1,0,0,0,3,0
./aclImdb/test/neg/9565_3.txt,tt0121939,Title Not Found,0,1,0,0,0,1,0,0,0,0,1,0
./aclImdb/test/neg/3703_2.txt,tt0316272,Momentum,0,2,0,0,0,2,0,0,0,0,1,0
./aclImdb/test/neg/10309_2.txt,tt0093142,Hangmen,0,0,0,0,0,0,0,0,0,0,0,0
./aclImdb/test/neg/7900_1.txt,tt0367085,Soul Plane,0,0,1,0,0,0,0,1,0,0,0,0
./aclImdb/test/neg/5129_4.txt,tt0085549,Flashdance,5,0,6,3,0,0,0,2,1,1,0,3
./aclImdb/test/neg/492_1.txt,tt0202470,Rock Star,0,2,0,0,0,1,1,0,0,0,1,0
./aclImdb/test/neg/6120_2.txt,tt0252102,WrestleMania IX,0,0,0,0,0,0,0,0,0,0,0,0
./aclImdb/test/neg/12300_4.txt,tt0167752,The 4th Floor,8,0,0,2,5,0,0,0,0,6,0,0
./aclImdb/test/neg/3760_1.txt,tt0042897,Rocketship X-M,0,0,3,0,0,0,0,1,1,0,0,0
